System,Alignment,Aligned Cap,Total Cap,Percent Grouping,Percent,EMW Coverage,Systems with Same EMW Coverage,EMW Combo Count,Top 10 EMW Match,Top 10 EMW Combo #
DQ-Navy,Aligned,2,3,60-70%,66%,E1 | E2 | E3 | E4 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,7,14,,
DR,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DR  DX  CR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DRA,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
DRAGER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
DRAWBASE,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 | W9 ,11,7,,
DRIVING SIMULATOR,Aligned,1,1,90-100%,100%,E3 | E4 | W6 | W8 ,9,4,,
DRMS,Aligned,2,2,90-100%,100%,E3 | E4 | W5 | W6 | W7 | W8 | W9 ,1,7,,
DRST,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
DRSi,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
DS,Aligned,1,1,90-100%,100%,E3 | E4 | W6 | W8 ,9,4,,
DS-ET,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DSCOPE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DSI,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
DSI S11 X11,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
DSN,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
DT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DT-702 DOSE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DTE,Aligned,1,1,90-100%,100%,W10 | W5 | W7 ,12,3,,
DTOX,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DTREE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
DTRS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DTS,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
DTS DT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DVEIVR,Aligned,4,4,90-100%,100%,E1 | E2 | E3 | E4 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,7,14,,
DVS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
DV TRAINER,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
DYMO,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DYNAMED,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
DYNEX DS2,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DecisionBase Pro,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
Dictaphone,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,24,13,,
Digital Image Processor,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
Discovery Studio,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
DoD-VA,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
DoDMERBS,Aligned,3,3,90-100%,100%,E1 | E2 | E3 | E4 | M1 | W2 | W5 | W8 ,1,8,,
DoDSER,Aligned,2,2,90-100%,100%,E4 | W10 | W7 | W8 ,1,4,,
DoDTR,Aligned,3,3,90-100%,100%,E1 | E2 | E3 | E4 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W7 | W8 | W9 ,5,15,,
DoFEMS,Aligned,6,4,90-100%,100%,E3 | E4 | M1 | W10 | W3 | W5 | W8 | W9 ,1,8,,
DoubleTake,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
E-FAX,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
E-Proxy,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
E2A,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
E4D,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EAS-IV,Aligned,9,16,50-60%,56%,E1 | E2 | E3 | E4 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W7 | W8 | W9 ,5,15,,
EBMS-D,Aligned,3,2,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
EBRAP,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
EBSCO DS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ECAA,Aligned,3,3,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ECAT,Aligned,1,1,90-100%,100%,E3 | E4 | W10 ,15,3,,
ECDRS,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
ECDTP,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
ECHOCARDIOGRAPH,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ECHOPACS,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
ECI,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
ECIA,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ECLIPSE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ECONOPACK,Aligned,1,1,90-100%,100%,W10 | W3 | W5 | W8 ,2,4,,
ECONSENT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
EC 100,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EDA,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EDES,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
EDIPV,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EDIS,Aligned,1,3,30-40%,33%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
EDS VTC,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EDVR,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
EEG AS40,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EEG Alliance Works,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EEG EASY II,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EEG NEUROFAX,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EEG TRUSCAN,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EEMLC 200,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W8 ,19,4,,
EFILM,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
EGS,Aligned,3,3,90-100%,100%,E3 | W1 | W10 | W3 | W5 | W6 | W8 ,1,7,,
EHDOS,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
EHEALTH,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
EI-DS,Aligned,11,10,90-100%,100%,E1 | E2 | E3 | E4 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W7 | W8 | W9 ,5,15,,
EI-DS (No longer exists and has been broken up into the following systems),Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
EINFOTREE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EIRB,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
EKAHAU,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
EKG-ECG DEVICE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EKG-ECG Device,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ELA,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ELECTROGLOTTOGRAPHY DIGITAL STROBE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ELSEVIER,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
EMBASSY,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EMBLETTA,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EMC,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EMCS,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
EMG,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EMILPO,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EMMA,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
EMPARTS,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
EMPRISE,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
EMSTAT,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
EMWAVE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ENCODER PRO,Aligned,1,1,90-100%,100%,M1 | W5 | W6 ,7,3,,
ENDOMANAGER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ENDOSCOPY,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ENDOSOFT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ENDOWORKS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ENDURACUT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ENOSIS,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
ENS,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
ENTOLAB,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
EPAD,Aligned,1,1,90-100%,100%,E3 | W3 | W5 | W6 | W8 ,12,5,,
EPD,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
EPEB,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
EPICCARE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EPICENTER,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
EPINET,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
EPIPHANY,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EPIQUEST,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
EPKI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EPMM,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
EPOWER,Aligned,2,1,90-100%,100%,E3 | E4 | W4 | W5 | W6 | W8 ,8,6,,
EPRIME,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
EP EVALUATOR,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
EP MEDSTATION,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EQUIP,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ERAM PHC,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ERAS,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W8 ,16,4,,
ERECEIPT,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
ERGOFIX,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ERMC JOURNALS,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
ERMS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
ERWIN,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ESIG,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,24,13,,
ESIMS,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
ESOHIR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ESOPHAGEAL MANOMETRY,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ESP,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
ESR-AUTO PLUS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ESSENCE,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
EST 2000,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
ET,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EUD,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EVAS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EVENTSENTRY,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EVENT MANAGEMENT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
EV 1000,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EW,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EWA,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
EXCHANGE,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
EXERCISE PRO,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
EXIT WRITER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
EXPANDED HRB,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EXPERT,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
EXPLORER,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
EXTRANET,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
EYEDOCK,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EZCLAIM,Aligned,1,1,90-100%,100%,M1 | W5 | W6 ,7,3,,
Easy Coder,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
Electrotherapy,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
EndNote,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
Environment Monitor,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
EpiInfo,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
Essentris,Aligned,5,5,90-100%,100%,E2 | E3 | E4 | W10 | W2 | W5 | W6 | W8 | W9 ,2,9,,
Evironment Monitor,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
Exit Writer,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
FACIL MGMT,Aligned,1,1,90-100%,100%,E3 | E4 | W4 | W5 ,1,4,,
FADL LIMS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
FAMDS,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
FAPDB,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
FASOR,Aligned,2,2,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
FAST,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
FATS,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
FBIR,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
FCR GO 2,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
FEAR CONDITIONING,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
FEDLOG,Aligned,1,1,90-100%,100%,E3 | E4 | W10 ,15,3,,
FETAL MONITOR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
FETAL MONITOR COROMETRICS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
FETAL MONITOR PHILLIPS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
FILENET,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
FIREDAEMON,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
FIRST DATABANK,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
FISMA,Aligned,1,1,90-100%,100%,W10 | W5 | W7 ,12,3,,
FITMATE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
FITPLUS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
FLD,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
FLIR,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
FLUKE,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
FLUORSCAN DEVICE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
FMIS,Aligned,3,5,50-60%,60%,E1 | E4 | W1 | W3 | W4 | W5 | W7 | W9 ,1,8,,
FNS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
FOIAXPRESS,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
FONEMED,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
FOOD PROCESSOR,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
FOOT SCAN,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
FORECAS,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | E4 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,7,14,,
FORESCOUT,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
FORESEER,Aligned,1,1,90-100%,100%,W7 | W9 ,3,2,,
FORTIFY,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
FORTRANLINT,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
FORUM,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,24,13,,
FSCALE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
FS PRO,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
FT-IR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
FTDTL,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
FUNDUS CAMERA,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
FUSION,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
FUSIONFX,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
Fetal Monitor Avalon,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
Fetal Monitor Viridia,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
Field ANALYZER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
FlexiVent,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
Floroscan Device,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
Fluoroscan Device,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
G3,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
G3TSKS,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
GAMS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
GARMIN,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
GASMET,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
GASTROSCOPE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
GATAN,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
GDR,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
GDX PRO,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
GEM,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
GEMS-Human Phys,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
GENESPRING,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
GENEXPERT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
GENOME,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
GETWELL,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
GE AWS,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
GE DMS,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
GFI,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
GIDEON,Aligned,1,1,90-100%,100%,E4 | W8 ,8,2,,
GLUCOMETER XCEED PRO,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
GMIX HDR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
GOV,Aligned,1,1,90-100%,100%,W10 | W5 | W7 ,12,3,,
GOVERLAN,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
GPPDMS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
