System,Capability
MICROBIOLOGY ANALYZER,Laboratory Diagnostic Services
MICROCOG,Mental Healthcare
MICROLOG,Localized Communications
MICROPROBE,Laboratory Diagnostic Services
MICROS,Accounting and Finance
MICROSOFT,Server Services
MICT,Inspections
MIDHT,Health Information Technology Requirements and Development
MIDI,Inventory Management
MIIA,Information Sharing
MILLENNIUM ILS,Continuing Health Education
MILLING SYSTEM,Specialty Care
MILPDS,Personnel Accountability
MILT,Pharmacy Services
MILVAX,Immunization
MIM,Therapeutic Radiology Services
MIND MAP,Studies and Analysis
MINITAB,Studies and Analysis
MINI C-ARM,Radiology Diagnostic Services
MIRROR PHOTOFILE,Specialty Care
MIRTH,End User Services
MISFRDCI,Health Information Technology Requirements and Development
MKC,Content Delivery
MKC,Information Management
MKC,User Access (Portal)
MKC,Community Support
MMO,Credentialing and Privileging
MMPI-2,Mental Healthcare
MODS,Optimize Health and Fitness of the Peacetime Force
MODS,Manning
MODS,Continuing Health Education
MODS,Manage DHP Military Personnel (MilPers) by End Strength
MODS,Personnel Accountability
MODS,Enhance Warfighter Sensory  Cognitive  and Motor Capabilities
MODS,Ambulatory Diagnostic Services (Medical)
MODS,Staff Development
MODS,Compensation
MODS,Mental Healthcare
MODS,Graduate Medical Education
MODS,Optimize Health and Fitness of the Deployed Force
MODS,Manage Warfighter Performance
MODS,Enhance Warfighter Learning  Communications and Decision Making
MODS,Medical Readiness Training
MODS,Credentialing and Privileging
MODS,Ensure the Physical and Mental Health of the Redeployed Force
MODS,Medical Logistics Management
MODS,Readiness Reporting
MODS,Assignment
MODS,Total Medical Force Recruiting
MODS,Enhance Psychological Resilience
MODS,Disability Evaluation
MODS-18D,Readiness Reporting
MODS-68W,Readiness Reporting
MODS-90BOG,Readiness Reporting
MODS-ACZDH,Readiness Reporting
MODS-ART,Readiness Reporting
MODS-AWR,Readiness Reporting
MODS-BHDP,Readiness Reporting
MODS-CBR,Readiness Reporting
MODS-CME-CNE,Readiness Reporting
MODS-CMS,Readiness Reporting
MODS-EMS,Readiness Reporting
MODS-ESS,Readiness Reporting
MODS-FYGME,Readiness Reporting
MODS-GME,Readiness Reporting
MODS-HCDP,Readiness Reporting
MODS-HLS,Readiness Reporting
MODS-HPSP,Readiness Reporting
MODS-HRLRP,Readiness Reporting
MODS-M3PT,Readiness Reporting
MODS-MEA,Readiness Reporting
MODS-MEB,Readiness Reporting
MODS-MEDPROS Web Reporting,Readiness Reporting
MODS-MHA,Readiness Reporting
MODS-MWDE,Readiness Reporting
MODS-NDR,Readiness Reporting
MODS-OBWR,Readiness Reporting
MODS-PAD,Readiness Reporting
MODS-PDSBR,Readiness Reporting
MODS-PDST,Readiness Reporting
MODS-PHA,Readiness Reporting
MODS-PRT,Readiness Reporting
MODS-PWR,Readiness Reporting
MODS-Referral Tracking,Readiness Reporting
MODS-S&F,Readiness Reporting
MODS-SITREP,Readiness Reporting
MODS-SPL,Readiness Reporting
MODS-SPM,Readiness Reporting
MODS-SPT,Readiness Reporting
MODS-TBI-T,Readiness Reporting
MODS-UM,Readiness Reporting
MODS-VT,Readiness Reporting
MODS-VTM,Readiness Reporting
MODS-WT,Readiness Reporting
MODS-e-Profile,Readiness Reporting
MOES,Core and Specialty Medical Education and Training Programs
MOM,Inpatient Non-Surgical Treatment
MONARCH,Enterprise Application Software
MONTAGE RECORDER,Specialty Care
MOSAIQ,Therapeutic Radiology Services
MOSBYS NURSING,Core and Specialty Medical Education and Training Programs
MOTION CAPTURE,Medical Research and Development
MOTR,Medical Research and Development
MOVE!23,Optimize Health and Fitness of the Non-deployed Force
MOVEit,Enterprise Messaging
MOVI,End User Services
MOZILLA,Enterprise Application Software
MPI,Specialty Care
MPPT,Health Information Performance Assessment
MPPT,Manage DHP Military Personnel (MilPers) by End Strength
MPPT,Portal Services
MPPT,Portfolio Management
MPTk,Plan Collaboratively
MPWORD,Medical Information Management
MQVXP,Medical Information Management
MRDSS,Readiness Reporting
MRESN,Information Sharing
MRI,Radiology Diagnostic Services
MRI DEVICE,Radiology Diagnostic Services
MRM,Medical Facilities
MRRS,Audits
MRS,Case Management
MR INJECTION,Radiology Diagnostic Services
MS,End User Services
MSDN,Medical Logistics Services
MSMS,Medical Research and Development
MSPO,Develop and Manage Defense Health Program
MSRV,End User Services
MSTT,End User Services
MSVT,Mental Healthcare
MS ACT,End User Services
MS INFOPATH,Enterprise Application Software
MULTINET,Server Services
MULTIPHOTON MICRO,Medical Research and Development
MULTIX PRO,Radiology Diagnostic Services
MUSE,Specialty Care
MYMHMS,Monitoring
Mammography Device,Radiology Diagnostic Services
McAffee,Protect Against Disclosure or Modification of Data
MeRITS,Content Delivery
MeRITS,Medical Research and Development
MeRITS,Content Discovery
MedOffice,Accounting and Finance
Media Duplication,End User Services
Medisense,Laboratory Diagnostic Services
Meso QuickPlex,Medical Research and Development
Mind Map,Studies and Analysis
Momentum,Medical Research and Development
MouseOx,Medical Research and Development
Multiphoton Micro,Medical Research and Development
NA,Disease Management
NAB,Mental Healthcare
NANODROP,Environmental
NARER,Provide Comprehensive Health Surveillance
NAS,Server Services
NATSCO,End User Services
NAVFIT98A,Optimize Health and Fitness of the Non-deployed Force
NAVINET,Claims Payment
NAVISPHERE,Server Services
NCIHD,Continuing Health Education
NCMDB,Case Management
NCRMDITO,End User Services
NCS,Patient Safety
NCT,Medical Management (Chronic Illnesses)
NDSP,Screening
NECO,Medical Logistics Services
NEJM,Continuing Health Education
NEMO,Primary Care
NEO,Mental Healthcare
NEOBASE,TREATMENT
NEPHELOstar,Medical Research and Development
NEPSY-II,Mental Healthcare
NERO,Enterprise Application Software
NETBACK,Server Services
NETSCAN,Optimized Network Functions and Resources
NETSCREEN,Distributed Computing
NETSIM,Net Management
NETSUPPORT,End User Services
NETWORK,Net Management
NETWORK SIPR,Localized Communications
NET SUPPORT SCHOOL,Collaboration
NEUROFEEDBACK DEVICE,Mental Healthcare
NEUROGRAM,Radiology Diagnostic Services
NEUROGUIDE,Mental Healthcare
NEUROWORKS,Specialty Care
NEWBORN HEARING ASSESSMENT,Specialty Care
NEXUS,Specialty Care
NFDR,Pharmacy Services
NFFSCUM,Studies and Analysis
NICE ANALYZER,Quality Improvement (QI)
NICOLETONE,Specialty Care
NICoE,Provide Comprehensive Health Surveillance
NIDEK,Specialty Care
NIDEK MAGELLAN,Specialty Care
NIKON,Laboratory Diagnostic Services
NIOSH,Preventive Health Counseling
NITRO,Defensive Cyber - Internal Defensive Measures
NITROVIEW,Protect Against Network Infiltration
NM,Net Management
NMIS,Synchronize Operations
NMIS,Issue Plans
NMIS,Base Support Vehicles and Equipment
NMIS,Emergency Services
NMIS,Inventory Management
NMIS,Collaboration
NMIS,Disseminate Information
NMIS,Religious Support
NMIS,Accounting and Finance
NMIS,Security Services
NMIS,Inpatient Non-Surgical Treatment
NMIS,Provide Comprehensive Health Surveillance
NMIS,Provide Food Safety and Inspections
NMIS,Issue Orders
NMIS,Develop and Manage Defense Health Program (DHP)
NMIS,Medical Management (Chronic Illnesses)
NMIS,Installation Safety
NMLLS,Lessons Learned
NMO,Access a Healthy and Fit Force
NMO,Readiness Reporting
NMO,Information Management
NMO,Develop and Maintain Shared Situational Awareness and Understanding
NMO,Communicate Medical Plan to Support Commander’s Intent and Guidance
NMO,Server Services
NMO,Manning
NMO,Preventive Medical Services
NMO,Medical Logistics Management
NMO,Assignment
NMS,Server Services
NNMi,Optimized Network Functions and Resources
NOAH,Specialty Care
NONCON,Specialty Care
NOS-EM,End User Services
NPDF,Enterprise Application Software
NPF,Server Services
NPM,Net Management
NQUERY ADVISOR,Medical Research and Development
NRC,Continuing Health Education
NRCPR,DEFINE THE HEALTH BENEFIT
NS,Continuing Health Education
NSAMS,Provide Health Risk Evaluation (Characterization)
NSEC,Protect Against Network Infiltration
NSOC,Net Management
NSPIRE,Specialty Care
NSPKC,Installation Services
NSQIP,DEFINE THE HEALTH BENEFIT
NUBAS,Utility Operations
NUCLEAR MIS,Radiology Diagnostic Services
NURSENET,Server Services
NVISION,Specialty Care
Nanoprint,Medical Research and Development
Network Case Management Database,Case Management
Nicolet,Specialty Care
NucMed DEVICE,Radiology Diagnostic Services
NucMed Device,Radiology Diagnostic Services
OAE,Specialty Care
OARS,Accounting and Finance
OBCHART,Specialty Care
OBSERVA,Laboratory Diagnostic Services
OCCULARIS,Installation Services
OCC HEALTH,Occupational Health Services
OCT,Radiology Diagnostic Services
OCTAVE,Risk Management
OCTOPUS,Specialty Care
OCT SPECTRALIS,Specialty Care
OCT Visante,Specialty Care
ODSS,DEFINE THE HEALTH BENEFIT
ODYSSEY,Medical Research and Development
OFAMS,Optical
OFFICE MEDIC,Specialty Care
OFFSITE,Localized Communications
OH-DB,Archive and Retrieve Health-Related Documents and Data
OHS-MSDS,Medical Logistics Services
OHUET,Medical Research and Development
OIS,Specialty Care
OMEGA CS,Enterprise Application Software
OMNI,Mental Healthcare
OMNIA,Specialty Care
OMNICENTER,Pharmacy Services
OMNIPAGE,Enterprise Application Software
OMNIPRO,Therapeutic Radiology Services
OMNIPRO-ACCEPT,Medical Equipment Maintenance
ONLINE,Distributed Computing
ONSSI,Installation Services
OOS,Medical Logistics Services
OPD SCAN II,Specialty Care
OPENSSH,Server Services
OPENSSL,Assure Transfer
OPINION METER,Quality Improvement (QI)
OPM,Health Information Performance Assessment
OP TMED LAB,Operational Test and Evaluation
OQ45,Mental Healthcare
ORACLE,Content Delivery
ORBSCAN,Specialty Care
ORP-IMS,Medical Research and Development
ORT3,Quality Improvement (QI)
OSMOMETER,Laboratory Diagnostic Services
OS X LION,End User Services
OS X SNOW LEOPARD,End User Services
OT,Protect Against Network Infiltration
OTC NET,Accounting and Finance
OTIS,Blood
OUT PROCESSING PROGRAM,Assignment
OVER EXPOSURE,Environmental
OVID,Continuing Health Education
OVMS,Distributed Computing
Olympus Microscope,Medical Research and Development
Olympus Scanner,Medical Research and Development
OpenBook,End User Services
Oyler Mass Spec,Environmental
P4I,Enterprise Application Software
P4I,Studies & Analyses
P4I,Analyze Information
P4I,Content Delivery
PACEART,Specialty Care
PACEMAKER INTERROGATOR,Specialty Care
PACER,DEFINE THE HEALTH BENEFIT
PACES,Health Facility Construction
PACS,Installation Services
PACSSCAN,Radiology Diagnostic Services
PAD,Quality Improvement (QI)
PADS,End User Services
PAGING,Accounting and Finance
PAI,Mental Healthcare
PANDORA,Inventory Management
PAPDISP CHART,Preventive Medical Services
PAPERPORT,Enterprise Application Software
PAPERSTORE,End User Services
PARTEK,Medical Research and Development
PARVO,Specialty Care
PAS,Medical Research and Development
PASAT,Mental Healthcare
PASBA-DQI,Studies and Analysis
PASBA-I,Localized Communications
PASS,Primary Care
PASSNH,Medical Management (Chronic Illnesses)
PASTOR,Provide Health Risk Assessment
PASTOR,CLINICAL PREVENTIVE MEDICINE
PASTOR,Routine Ambulatory Care (Dental)
PASW,Studies and Analysis
PATH,Medical Research and Development
PATRIOT DIGITIZER,Medical Research and Development
PAWS,Studies and Analysis
PBAM,Quality Assurance
PBAS,Develop and Manage Defense Health Program
PBH-TERM,Routine Ambulatory Care (Medical)
PBH-TERM,Ensure the Physical and Mental Health of the Redeployed Force
PBH-TERM,Mental Healthcare
PBH-Term,Disability Counseling and Coaching
PBSC,Mental Healthcare
PC-ACE PRO32,Claims Payment
PCD,End User Services
PCM,Net Management
PCMH,TREATMENT
PCMS,Laboratory Diagnostic Services
PCR,Laboratory Diagnostic Services
PCS,Monitoring
PCTS,DEFINE THE HEALTH BENEFIT
PCWMM,Pharmacy Services
PD,Personnel Accountability
PD2,Medical Logistics
PDF4NET,End User Services
PDF CREATOR,Enterprise Application Software
PDREL,Pharmacy Services
PDS,End User Services
PDTS,Studies & Analyses
PDTS,Pharmacy Services
PEAK PLASMABLADE,Surgery (Inpatient)
PEARL,Medical Research and Development
PEDB,Personnel Accountability
PEER CHART REVIEW,DEFINE THE HEALTH BENEFIT
PEPP,Portal Services
PERC,Joint and Service Medical Education and Training
PERL,End User Services
PERNET,Specialty Care
PERS,Total Medical Force Recruiting and Retention
PERSEMP,Personnel Accountability
PERSONA,End User Services
PERVASIVE,Communication Bridge
PFM,Portfolio System Acquisition
PFMT,Health Information Performance Assessment
PFT,Specialty Care
PFT IQ MANAGER,Specialty Care
PHARMASSIST,Pharmacy Services
PHARM TECH,Staff Development
PHIDDO,Provide Comprehensive Health Surveillance
PHIMT,Quality Assurance
PHMS,CLINICAL PREVENTIVE MEDICINE
PHORESIS,Laboratory Diagnostic Services
PHR-A,Disease Management
PHYSICAL SECURITY,Installation Services
PHYSICAL THERAPY EQUIPMENT PRIMUSRS,Physical Therapy
PHYSIOFLOW,Specialty Care
PH MONITORING SYSTEM,Specialty Care
PI,Protect Against Network Infiltration
PIAS-C,Health Quality and Safety
PIAS-C,Pharmacy Services
PIAS-E,Pharmacy Services
PIAS-E,Health Quality and Safety
PIAS-O,Pharmacy Services
PIAS-O,Health Quality and Safety
PICTURE THIS,Mental Healthcare
PIHCP,Medical Management (Chronic Illnesses)
PILLCAM,Radiology Diagnostic Services
PINNACLE,Specialty Care
PIPSPRO,Medical Equipment Maintenance
PIR,Continuing Health Education
PI NEXUS,Quality Assurance
PKI,Assure Access
PLETHYSMOGRAPH,Specialty Care
PLGS,Medical Research and Development
PL SQL Developer,Server Services
PM,Health Information Technology Requirements and Development
PMAT,Program-Budget and Performance
PMON,End User Services
PMRC,Program-Budget and Performance
PMSS,Server Services
PM REPORTING TOOL,Individual human and animal
POAS-O,Health Quality and Safety
POAS-O,Pharmacy Services
POAS-P,Health Quality and Safety
POAS-P,Pharmacy Services
POC,Specialty Care
PODS-P,Medical Materiel
PODS-P,Health Quality and Safety
PODS-P,Pharmacy Services
POLAR,Manage Warfighter Performance
POLLPWA,Pharmacy Services
POS,Installation Feeding
POSTGRESQL,Server Services
POWER,Net Management
POWERBUILDER,End User Services
POWERSCRIBE,DEFINE THE HEALTH BENEFIT
POWER DVD,End User Services
POWER STEERING,Program-Budget and Performance
PPM,Utilization Management
PQNS,Primary Care
PRECISION LINK,Case Management
PRESCRIBER LETTER,Continuing Health Education
PRINTER,Shared Computing
PROGENESIS LC-MS,Medical Research and Development
PRORAE,Occupational Health Services
PROTOCLAIMS,Claims Payment
PROVATION,Specialty Care
PRO FORTRAN,End User Services
PRS,Environmental
PRTAS,Medical Logistics
PRTS,DEFINE THE HEALTH BENEFIT
PS,End User Services
PSHOP,Enterprise Application Software
PSR,Investigations
PSR,Health Quality and Safety
PSR,Manage Risk
PSR,Patient Safety
PSS,Quality Assurance
PSYCBOOKS,Continuing Health Education
PSYCHCORPCENTER,Mental Healthcare
PSYCHINFO,Continuing Health Education
PTRP,Physical Rehabilitation
PTS,Medical Research and Development
PT Grant,Medical Research and Development
PT TRAQ,Emergency Services
PUBMED,Continuing Health Education
PUBS,Accounting and Finance
PULSE,Environmental
PUREEDGE,Enterprise Application Software
PUTTY,End User Services
PVDAS,Content Discovery
PVDAS,Studies & Analyses
PVDAS,Health Quality and Safety
Pharmacist Letter,Continuing Health Education
Ponemah P3P,Medical Research and Development
Precision Web,Specialty Care
Print Audit v6,End User Services
Q-MATIC,Primary Care
Q1 Collector,Medical Information Management
QAS,Quality Assurance
QAWEB,Medical Equipment Maintenance
QB PRO,Accounting and Finance
QCTRACK,Medical Equipment Maintenance
QIA,Laboratory Diagnostic Services
QLUCORE,Medical Research and Development
QMS,Laboratory Diagnostic Services
QRES,End User Services
QSO SURVEY,Quality Improvement (QI)
QSTARZ,Optimize Health and Fitness of the Non-deployed Force
QUANTIM,Claims Payment
QUANTITY ONE,Radiology Diagnostic Services
QUEST,Directory Services
QUESTSUITE,Environmental
QUEST INTRUST,Network Resource Visibility
QUESTemp,Occupational Health Services
QUICKDOC,Continuing Health Education
QUICKTIME,Enterprise Application Software
QWS,Distributed Computing
Q LOCAL,Mental Healthcare
Qtrap 6500 AMCR,Medical Research and Development
Quantos,Medical Research and Development
RABIES,Individual human and animal
RACSAS,Specialty Care
RALS-PLUS,Laboratory Diagnostic Services
RAM,Health Information Technology Requirements and Development
RAMMIS-W,Portal Services
RAPMI,Medical Research and Development
RAYSAFE,Medical Equipment and Technology
RCMIS,Specialty Care
RDA-TC,Medical Equipment and Technology
RDMS,Medical Research and Development
REACHPLUS ALERTS,Enterprise Messaging
READALYZER,Mental Healthcare
READIBAND,Specialty Care
REALEYES,Specialty Care
RECA PHC,Community Support
RECBASS,Portal Services
RECEIVER,End User Services
REFLECTION,End User Services
REFRACTOR,Specialty Care
REF MAN,Continuing Health Education
REGULUS,Medical Equipment and Technology
REG PHC,Staff Development
REMAD,Inventory Management
REMARK,End User Services
REMBRANDT,Specialty Care
REMC,Protect Against Disclosure or Modification of Data
RENO,Medical Facilities
REP,Installation Services
REPORTIT,Occupational Health Services
RESET,Health Information Technology Requirements and Development
RESPECT,Mental Healthcare
RESPIRATOR FIT TESTER,Occupational Health Services
RESPONDER,Medical Facilities
RESPONDER RCI,Provide Comprehensive Health Surveillance
RESPONDUS,Protect Against Disclosure or Modification of Data
RESQ,Utilization Management
RESSCAN,Specialty Care
RETCAM,Specialty Care
RETINA,Protect Against Network Infiltration
RETINAL CAMERA,Specialty Care
RFIPBE,DEFINE THE HEALTH BENEFIT
RFPRFID,Medical Logistics Services
RFS,Server Services
RH,Shared Computing
RIAP-S,Mental Healthcare
RIIDV,Portal Services
RIMAGE,End User Services
RIMS,Develop and Manage Defense Health Program
RIS,Monitor Execution  Assess Effects and Adapt Operations
RISKWATCH,Quality Assurance
RM,Medical Information Management
RMIPPAA,Specialty Care
RMPMT,Provide Comprehensive Health Surveillance
RM TRACKER,Case Management
ROBOHELP,End User Services
ROBOT-RX,Pharmacy Services
ROCHE IT,Specialty Care
ROFR,Monitoring
ROOM BED SCHEDULER,Medical Logistics Services
ROSETTA,Staff Development
ROTAROD,Medical Research and Development
ROVR,Provide Military Working Animal Care
ROXIO CREATOR,Enterprise Application Software
RRC,Continuing Health Education
RSA,Health Information Performance Assessment
RSDC,Case Management
RSIS,Specialty Care
RSMS,Portal Services
RSPCOOS,Medical Research and Development
RSTARS,Compensation
RSUB,Continuing Health Education
RTLS,Medical Equipment and Technology
RTT,Archive and Retrieve Health-Related Documents and Data
RUSHWORKS,Content Delivery
RXWORKS,Pharmacy Services
RadCalc,Specialty Care
RadWorks,Radiology Diagnostic Services
Remedy,End User Services
Riverain,Radiology Diagnostic Services
RxRefill,Pharmacy Services
RxRefill,Health Quality and Safety
S2IC,Occupational Health Services
S2 ENTERPRISE,Installation Services
S3,Surgery (Ambulatory)
S3,Surgery (Inpatient)
SA,Enterprise Architecture
SADR,Immunization
SAFCM,Core and Specialty Medical Education and Training Programs
SAFT,Staff Development
SAGENT,Content Discovery
SAM,Network Resource Visibility
SAN,Server Services
SANCTUARY,Protect Against Disclosure or Modification of Data
SANDMAN,Specialty Care
SAP BEX,Analyze Information
SARPTA,Specialty Care
SAS,Studies and Analysis
SATELLITE ED,Staff Development
SAVI,Server Services
SAWS,Medical Research and Development
SB,Quality Improvement (QI)
SBM,Health Information Technology Requirements and Development
SC,Medical Logistics Services
SCANSNAP,End User Services
SCCM,End User Services
SCHICK,Radiology Diagnostic Services
SCRIPTCENTER,Pharmacy Services
SCRIPTLOGIC,Net Management
SCRIPTPRO,Pharmacy Services
SCRUBEX,Medical Logistics Services
SCRUTINIZER,Network Resource Visibility
SCSI,Radiology Diagnostic Services
SCZTHERMDAQ,Medical Research and Development
SC LOGIC,Inventory Management
SDI,Preventive Dentistry Services
SDS,Develop and Manage Defense Health Program
SD ABS Tremor,Medical Research and Development
SECURECRT,Rapid Configuration Change
SECUREVUE,Net Management
SECURE CONSOLE,Therapeutic Radiology Services
SECURITY SYSTEM,Installation Services
SEEPOINT,Primary Care
SEER Rx,Specialty Care
SEMD,Continuing Health Education
SEMEN ANALYZER,Laboratory Diagnostic Services
SEMOSS,Studies and Analysis
SENSAPHONE,Medical Logistics Services
SENSIS HEMO CATH LAB,Specialty Care
SENTILLION,Assure Access
SEPS,Master Facility Design
SEPS,Repair and Restore Infrastructure
SEPS,Medical Facilities
SEPS,Portfolio Management
SEPS,Medical Equipment and Technology
SEPS,Medical Logistics Integration
SEPS,Health Facility Construction
SEPS,Develop and Maintain Facilities
SERENA,Health Information Technology Requirements and Development
SERIES IV PHYSIOM,Specialty Care
SERVERS,Server Services
SFTS,Assure Transfer
SFWSUSS,Protect Against Denial or Degradation of Services
SGI,Server Services
SHARE,Laboratory Diagnostic Services
SHAREPOINT,Server Services
SHARP SECURITY,Installation Services
SHAVLIK,Protect Against Denial or Degradation of Services
SHIPLEY,Mental Healthcare
SHOCKWAVE,End User Services
SHRED,Medical Information Management
SHUTAVOID,Medical Research and Development
SIDEXIS,Preventive Dentistry Services
SIGMAPLOT,Specialty Care
SILVERLIGHT,Enterprise Application Software
SIMCA,Studies and Analysis
SIMPANA,Server Services
SIMPLANT,Preventive Dentistry Services
SIMQUEST,Medical Research and Development
SIMS,Mental Healthcare
SIM MAN,Core and Specialty Medical Education and Training Programs
SIPASS,Installation Services
SISTORE,Installation Services
SITESCOPE,Net Management
SKED,Medical Logistics
SL,Server Services
SLA,Localized Communications
SLDCADA,Compensation
SLEEPWORKS,Specialty Care
SLIDE EXEC,Enterprise Application Software
SLIT LAMP,Specialty Care
SM,Enterprise Messaging
SMART,Develop and Manage Defense Health Program (DHP)
SMARTBEAR,End User Services
SMARTSEND,Content Delivery
SMART Management,Develop and Manage Defense Health Program (DHP)
SMDP,First Responder Care
SMGTS,Strategy Development
SMILEY FACE,Screening
SMS,Laboratory Diagnostic Services
SNAGIT,Enterprise Application Software
SNARC,Medical Research and Development
SNAREWORKS,Common Identity Assurance Services
SNC,Therapeutic Radiology Services
SNPMIS,Amputee Care
SNPMIS,Archive and Retrieve Health-Related Documents and Data
SNPMIS,Mental Healthcare
SNPMIS,Staff Development
SNPMIS,Health Quality and Safety
SNPMIS,Case Management
SNPMIS,Continuing Health Education
SNPMIS,Assess Available Capabilities
SNPMIS,Credentialing and Privileging
SNPMIS,Medical Management (Chronic Illnesses)
SNPMIS,Physical Rehabilitation
SNPMIS,Investigations
SNPMIS,Issue Estimates
SNPMIS,Substance Abuse Care
SNPMIS,Provide Health-Related Education
SOCKET TOOLS,Content Delivery
SOFTMED,DEFINE THE HEALTH BENEFIT
SOLARIS,Server Services
SOLDIERS DB,Training
SOLIDWORKS,Facilities Support
SOMNOSTAR SLEEP LAB,Specialty Care
SONIC,Enterprise Application Software
SONOVA,Specialty Care
SONULTRA,Specialty Care
SOPDB,Quality Assurance
SORS,Surgery (Inpatient)
SORVALL 12BP,Blood
SOUNDCHECK,Occupational Health Services
SOUNDFORGE,Enterprise Application Software
SOUNDVIEW,Staff Development
SPECIMEN,Laboratory Diagnostic Services
SPECIMEN LABELER,Medical Equipment and Technology
SPECIMEN TRACKER,Medical Research and Development
SPECTRAMAX,Medical Research and Development
SPECTROSCOPY,Environmental
SPECTRUM,Net Management
SPERM ANALYZER,Laboratory Diagnostic Services
SPIROMETER,Specialty Care
SPIRO PD,Medical Research and Development
SPISS,Installation Services
SPLUNK,Server Services
SPORTIDENT,Optimize Health and Fitness of the Non-deployed Force
SPOTLIGHT,Quality Improvement (QI)
SPSS,Quality Improvement (QI)
SPSTL,Public Health Laboratory Services
SPY ELITE,Radiology Diagnostic Services
SQL,Server Services
SQRIPT,Training
SRTS,Optical
SS,Enterprise Messaging
SSCM,Professional Military Education
SSES,Environmental
SSHClient,Server Services
SSL VPN,Assure Access
SSPQ-X,Mental Healthcare
STA,Laboratory Diagnostic Services
STANCIL,Localized Communications
STARS,Accounting and Finance
STAT,Continuing Health Education
STATA,Provide Comprehensive Health Surveillance
STATDX,Radiology Diagnostic Services
STATISTICA,Provide Comprehensive Health Surveillance
STATIT PIMD,Enterprise-Wide Assessment
STATUS FUNDS DB,Develop and Manage Defense Health Program
STDB,DEFINE THE HEALTH BENEFIT
STEDMANsEMD,Continuing Health Education
STEROTACTIC,Radiology Diagnostic Services
STICU DASHBOARD,DEFINE THE HEALTH BENEFIT
STIM2,Specialty Care
STORES,Inventory Management
STREEM,End User Services
STROBOSCOPE,Specialty Care
STRUXUREWARE,Facilities Support
STSS,End User Services
STUDIOFX,End User Services
SUPERBILL,Beneficiary Services
SUPER 2D-3D,End User Services
SUPPLY RECORD,Medical Logistics Services
SURGICAL ROBOT,Surgery (Inpatient)
SURGIVISION,Specialty Care
SURROUND,Laboratory Diagnostic Services
SURVEY MONKEY,End User Services
SVM,Installation Services
SWA,Information Sharing
SWANK,Staff Development
SWN,Enterprise Messaging
SYMANTEC,End User Services
SYNCSORT,Server Services
SYSBIOCUBE,Information Sharing
SafetyMIS,Risk Management
Scaffold,Laboratory Diagnostic Services
ScanPoint,Radiology Diagnostic Services
ScanTools Plus,End User Services
Seahorse Analyzer,Medical Research and Development
Security Camera,Installation Services
SoftMax Pro,Laboratory Diagnostic Services
Solver,Program-Budget and Performance
Spirometer,Specialty Care
Spyder3Pro,End User Services
Storage,Server Services
Swarm,Spectrum Monitoring
SyBASE,Server Services
T-DOC,Medical Materiel
T-System,Emergency Services
T2T,Collaboration
T2T,Enterprise Messaging
T2T,Access a Healthy and Fit Force
T2T,Mental Healthcare
T2T,Content Delivery
T2T,Content Discovery
TABLEAU,End User Services
TACACS,Assure Access
TAIHOD,Medical Research and Development
TALKSTATION,DEFINE THE HEALTH BENEFIT
TANDBERG-MS,End User Services
TAPDB,Manning
TAPROOT,Risk Management
TBIF,Mental Healthcare
TBII,Mental Healthcare
TEER,Medical Research and Development
TELELIBRARY,Core and Specialty Medical Education and Training Programs
TELELIBRARY-CRD,Content Delivery
TELELIBRARY-My Athens-Single Sign On,Core and Specialty Medical Education and Training Programs
TELELIBRARY-Pediatric Dentistry Database,Core and Specialty Medical Education and Training Programs
TELEMETRY,Inpatient Non-Surgical Treatment
TELE 360,TREATMENT
TEMPUS-PRO,First Responder Care
TERARECON,Radiology Diagnostic Services
TES,Training
TEST SERVER,Server Services
TETRA,Collaboration
TEWLS,Manage Global Supplier Networks
TEWLS,Repair
TEWLS,Medical Equipment and Technology
TEWLS,Logistics Services
TEWLS,Optical
TEWLS,Manage Supplies and Equipment
TEWLS,Medical Logistics Services
TEWLS,Medical Maintenance
TEWLS,Inventory Management
TEWLS,Medical Logistics Management
TEWLS,Deployment and Distribution
TEWLS,Medical Logistics Integration
TEWLS,Medical Materiel
TEWLS,Theater Hospitalization
TEWLS,Operate the Joint Supply Enterprise (JSE)
TEWLS,Assess Global Requirements  Resources  Capabilities and Risks
TEWLS,Manage Patient Movement Items
TEWLS,Cultivate Coordination with Partner Organizations
TEXT CONTROL,Routine Ambulatory Care (Medical)
TF,End User Services
THERASCRIBE,Substance Abuse Care
THERASOFT,Mental Healthcare
THERMO SIEVE,Medical Research and Development
THYROID UPTAKE,Radiology Diagnostic Services
TIMS,Immunization
TIPS-Write,Medical Logistics
TITUS,Enterprise Messaging
TJC,Quality Assurance
TLIQ,Laboratory Diagnostic Services
TMDS,Archive and Retrieve Health-Related Documents and Data
TMIP-J-Inc2,Burn Care
TMIP-J-Inc2,Occupational Health Services
TMIP-J-Inc2,Inpatient Non-Surgical Treatment
TMIP-J-Inc2,Emergency Detainee Healthcare
TMIP-J-Inc2,Physical Rehabilitation
TMIP-J-Inc2,Detainee Healthcare
TMIP-J-Inc2,Provide Comprehensive Health Surveillance
TMIP-J-Inc2,Intensive Care
TMIP-J-Inc2,Medical Care in a CBRNE Environment
TMIP-J-Inc2,Routine Ambulatory Care (Dental)
TMIP-J-Inc2,Forward Resuscitative Care
TMIP-J-Inc2,Organic and Area Medical Support in Theater
TMIP-J-Inc2,Amputee Care
